sub-10015/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,acq,val,
0.959011,1.997,18.7472,4.65992
sub-10015/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.952358,2.09069,20.9349,4.96384
sub-10015/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.946439,2.08403,20.9583,4.96783
sub-10017/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.924635,2.03716,18.0449,4.90437
sub-10017/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.919719,2.0513,18.8609,4.96976
sub-10017/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.941895,2.06522,17.9596,4.91941
sub-10017/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.932509,2.06701,18.6371,4.96422
sub-10017/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.960168,2.10353,18.2496,4.96404
sub-10017/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.956759,2.08575,18.672,4.92516
sub-10024/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.928067,2.03881,17.5155,4.89326
sub-10024/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.931137,2.06555,18.6944,4.96557
sub-10024/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.936307,2.07267,17.8664,4.9629
sub-10024/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.942337,2.09176,18.9167,5.00031
sub-10024/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.949907,2.07979,17.7061,4.93093
sub-10024/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.957532,2.1106,18.9445,4.99724
sub-10028/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.920281,2.04125,17.8012,4.93241
sub-10028/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.938331,2.06274,17.6495,4.92464
sub-10028/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.942837,2.09516,18.1718,5.00588
sub-10028/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.964667,2.12013,18.0397,4.99621
sub-10035/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.945505,2.06453,18.4326,4.90504
sub-10035/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.937934,2.05757,19.4732,4.91771
sub-10035/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.958078,2.08313,18.4725,4.91179
sub-10035/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.958669,2.09994,19.8249,4.96285
sub-10035/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.96323,2.10534,18.8787,4.95917
sub-10035/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.96955,2.11051,19.797,4.95194
sub-10041/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.916751,2.04813,17.595,4.96564
sub-10041/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.910358,2.06629,18.6555,5.05181
sub-10041/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.92256,2.04148,17.4693,4.92236
sub-10041/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.929177,2.05621,17.8601,4.94189
sub-10041/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.928807,2.05858,17.87,4.95042
sub-10041/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.941983,2.08961,18.6358,4.99426
sub-10043/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.930813,2.04587,17.4565,4.90307
sub-10043/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.91534,2.02939,18.0626,4.91847
sub-10043/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.941696,2.06683,17.6282,4.92371
sub-10043/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.943481,2.08143,18.4335,4.96317
sub-10043/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.955964,2.08364,17.6527,4.91912
sub-10043/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
