subject,headcoil,mb,me,smoothness
10015,64,mb3,me1,4.65992
10015,64,mb6,me1,4.96384
10017,64,mb1,me1,4.96783
10017,64,mb1,me4,4.90437
10017,64,mb3,me1,4.96976
10017,64,mb3,me4,4.91941
10017,64,mb6,me1,4.96422
10017,64,mb6,me4,4.96404
10024,64,mb1,me1,4.92516
10024,64,mb1,me4,4.89326
10024,64,mb3,me1,4.96557
10024,64,mb3,me4,4.9629
10024,64,mb6,me1,5.00031
10024,64,mb6,me4,4.93093
10028,64,mb1,me1,4.99724
10028,64,mb1,me4,4.93241
10028,64,mb3,me4,4.92464
10028,64,mb6,me4,5.00588
10035,64,mb1,me1,4.99621
10035,64,mb1,me4,4.90504
10035,64,mb3,me1,4.91771
10035,64,mb3,me4,4.91179
10035,64,mb6,me1,4.96285
10035,64,mb6,me4,4.95917
10041,64,mb1,me1,4.95194
10041,64,mb1,me4,4.96564
10041,64,mb3,me1,5.05181
10041,64,mb3,me4,4.92236
10041,64,mb6,me1,4.94189
10041,64,mb6,me4,4.95042
10043,64,mb1,me1,4.99426
10043,64,mb1,me4,4.90307
10043,64,mb3,me1,4.91847
10043,64,mb3,me4,4.92371
10043,64,mb6,me1,4.96317
10043,64,mb6,me4,4.91912
10054,64,mb1,me1,4.94429
10054,64,mb1,me4,4.94465
10054,64,mb3,me1,4.87886
10054,64,mb3,me4,4.9438
10054,64,mb6,me1,4.92637
10054,64,mb6,me4,4.96577
10059,64,mb1,me1,4.97005
10059,64,mb1,me4,4.88218
10059,64,mb3,me1,4.93274
10059,64,mb3,me4,4.93093
10059,64,mb6,me1,4.95899
10059,64,mb6,me4,4.90717
10069,64,mb1,me1,4.97342
10069,64,mb1,me4,4.83131
10069,64,mb3,me1,4.95035
10069,64,mb3,me4,4.86953
10069,64,mb6,me1,4.9113
10069,64,mb6,me4,4.948
10074,64,mb1,me1,4.97831
10074,64,mb1,me4,4.91956
10074,64,mb3,me1,4.95483
10074,64,mb3,me4,4.94253
10074,64,mb6,me1,4.97483
10074,64,mb6,me4,4.94064
10078,64,mb1,me1,4.95718
10078,64,mb1,me4,4.9252
10078,64,mb3,me1,5.02717
10078,64,mb3,me4,4.91132
10078,64,mb6,me1,4.96253
10078,64,mb6,me4,4.97725
10080,64,mb1,me1,4.9651
10080,64,mb1,me4,4.88099
10080,64,mb3,me1,4.88256
10080,64,mb3,me4,4.89996
10080,64,mb6,me1,4.94573
10080,64,mb6,me4,4.94513
10085,64,mb1,me1,4.9716
10085,64,mb1,me4,4.85497
