File      	Acquisition    	Echo    	EchoTime  

sub-10154 	mb1me4         	1       	0.0138    
sub-10154 	mb3me4         	3       	0.04928   
sub-10154 	mb3me4         	4       	0.06702   
sub-10154 	mb1me4         	3       	0.04928   
sub-10154 	mb3me4         	1       	0.0138    
sub-10154 	mb6me4         	2       	0.0321    
sub-10154 	mb1me4         	4       	0.06702   
sub-10154 	mb6me4         	3       	0.0502    
sub-10154 	mb1me4         	2       	0.03154   
sub-10154 	mb6me4         	4       	0.0683    
sub-10154 	mb6me4         	1       	0.014     
sub-10154 	mb3me4         	2       	0.03154   
sub-10059 	mb6me4         	3       	0.0502    
sub-10059 	mb6me4         	4       	0.0683    
sub-10059 	mb1me4         	2       	0.03154   
sub-10059 	mb6me4         	1       	0.014     
sub-10059 	mb3me4         	2       	0.03154   
sub-10059 	mb1me4         	1       	0.0138    
sub-10059 	mb3me4         	3       	0.04928   
sub-10059 	mb3me4         	4       	0.06702   
sub-10059 	mb1me4         	3       	0.04928   
sub-10059 	mb3me4         	1       	0.0138    
sub-10059 	mb1me4         	4       	0.06702   
sub-10059 	mb6me4         	2       	0.0321    
sub-10024 	mb3me4         	2       	0.03154   
sub-10024 	mb6me4         	1       	0.014     
sub-10024 	mb6me4         	4       	0.0683    
sub-10024 	mb1me4         	2       	0.03154   
sub-10024 	mb6me4         	3       	0.0502    
sub-10024 	mb1me4         	4       	0.06702   
sub-10024 	mb6me4         	2       	0.0321    
sub-10024 	mb3me4         	1       	0.0138    
sub-10024 	mb1me4         	3       	0.04928   
sub-10024 	mb3me4         	4       	0.06702   
sub-10024 	mb3me4         	3       	0.04928   
sub-10024 	mb1me4         	1       	0.0138    
sub-10603sp	mb3me4fa50     	4       	0.06702   
sub-10603sp	mb3me3         	2       	0.03154   
sub-10603sp	mb3me4         	1       	0.0138    
sub-10603sp	mb3me3ip0      	2       	0.04718   
sub-10603sp	mb3me4fa50     	3       	0.04928   
sub-10603sp	mb2me4         	1       	0.0138    
sub-10603sp	mb3me4         	3       	0.04928   
sub-10603sp	mb2me4         	4       	0.06702   
sub-10603sp	mb3me4fa50     	1       	0.0138    
sub-10603sp	mb3me4         	4       	0.06702   
sub-10603sp	mb2me4         	3       	0.04928   
sub-10603sp	mb2me4         	2       	0.03154   
sub-10603sp	mb3me4         	2       	0.03154   
sub-10603sp	mb3me3         	1       	0.0138    
sub-10603sp	mb3me3ip0      	1       	0.0166    
sub-10603sp	mb3me4fa50     	2       	0.03154   
sub-10603sp	mb3me3         	3       	0.04928   
sub-10603sp	mb3me3ip0      	3       	0.07776   
sub-10166 	mb3me4         	4       	0.06702   
sub-10166 	mb1me4         	1       	0.0138    
sub-10166 	mb3me4         	3       	0.04928   
sub-10166 	mb1me4         	4       	0.06702   
sub-10166 	mb6me4         	2       	0.0321    
sub-10166 	mb1me4         	3       	0.04928   
sub-10166 	mb3me4         	1       	0.0138    
sub-10166 	mb6me4         	4       	0.0683    
sub-10166 	mb1me4         	2       	0.03154   
sub-10166 	mb6me4         	3       	0.0502    
sub-10166 	mb3me4         	2       	0.03154   
sub-10166 	mb6me4         	1       	0.014     
sub-10085 	mb3me4         	2       	0.03154   
sub-10085 	mb6me4         	1       	0.014     
sub-10085 	mb6me4         	4       	0.0683    
sub-10085 	mb1me4         	2       	0.03154   
