dataset_source	acquisition_label	task	participant_count	bold_file_count	nominal_echo_count	observed_echo_count	echo_times_s	repetition_time_s	multiband_acceleration_factor	in_plane_acceleration	flip_angle_deg	scanning_sequence	pulse_sequence_details	phase_encoding_direction	image_orientation	inferred_slice_order	slice_timing_summary	number_of_slices	nifti_matrix_dimensions	nifti_voxel_dimensions_mm	base_resolution	acquisition_matrix_pe	recon_matrix_pe	slice_thickness_mm	spacing_between_slices_mm	partial_fourier	receive_coil_name	sbref_count	source_files	exceptions_and_notes
complete	T1w		34	0		1	0.00217	2.4		2	8	GR\IR	%SiemensSeq%\tfl		NIfTI axes RAS			224	[192, 224, 224]	[1, 1, 1]	224	224	224	1		1	HeadNeck_20	0	sub-10185/anat/sub-10185_T1w.json; sub-10185/anat/sub-10185_T1w.nii.gz; sub-10198/anat/sub-10198_T1w.json; sub-10198/anat/sub-10198_T1w.nii.gz; sub-10203/anat/sub-10203_T1w.json; sub-10203/anat/sub-10203_T1w.nii.gz; sub-10223/anat/sub-10223_T1w.json; sub-10223/anat/sub-10223_T1w.nii.gz; sub-10234/anat/sub-10234_T1w.json; sub-10234/anat/sub-10234_T1w.nii.gz; sub-10296/anat/sub-10296_T1w.json; sub-10296/anat/sub-10296_T1w.nii.gz; sub-10303/anat/sub-10303_T1w.json; sub-10303/anat/sub-10303_T1w.nii.gz; sub-10318/anat/sub-10318_T1w.json; sub-10318/anat/sub-10318_T1w.nii.gz; sub-10319/anat/sub-10319_T1w.json; sub-10319/anat/sub-10319_T1w.nii.gz; sub-10320/anat/sub-10320_T1w.json; sub-10320/anat/sub-10320_T1w.nii.gz; sub-10321/anat/sub-10321_T1w.json; sub-10321/anat/sub-10321_T1w.nii.gz; sub-10363/anat/sub-10363_T1w.json; sub-10363/anat/sub-10363_T1w.nii.gz; sub-10382/anat/sub-10382_T1w.json; sub-10382/anat/sub-10382_T1w.nii.gz; sub-10391/anat/sub-10391_T1w.json; sub-10391/anat/sub-10391_T1w.nii.gz; sub-10422/anat/sub-10422_T1w.json; sub-10422/anat/sub-10422_T1w.nii.gz; sub-10438/anat/sub-10438_T1w.json; sub-10438/anat/sub-10438_T1w.nii.gz; sub-10589sp/anat/sub-10589sp_T1w.json; sub-10589sp/anat/sub-10589sp_T1w.nii.gz; sub-10590sp/anat/sub-10590sp_T1w.json; sub-10590sp/anat/sub-10590sp_T1w.nii.gz; sub-10603sp/anat/sub-10603sp_T1w.json; sub-10603sp/anat/sub-10603sp_T1w.nii.gz; sub-10606sp/anat/sub-10606sp_T1w.json; sub-10606sp/anat/sub-10606sp_T1w.nii.gz; ... (+28 more)	
complete	T1w		28	0		1	0.00217	2.4		2	8	GR\IR	%SiemensSeq%\tfl		NIfTI axes RAS			224	[192, 224, 224]	[1, 1, 1]	224	224	224	1		1	HeadNeck_64	0	sub-10006/anat/sub-10006_T1w.json; sub-10006/anat/sub-10006_T1w.nii.gz; sub-10015/anat/sub-10015_T1w.json; sub-10015/anat/sub-10015_T1w.nii.gz; sub-10017/anat/sub-10017_T1w.json; sub-10017/anat/sub-10017_T1w.nii.gz; sub-10024/anat/sub-10024_T1w.json; sub-10024/anat/sub-10024_T1w.nii.gz; sub-10028/anat/sub-10028_T1w.json; sub-10028/anat/sub-10028_T1w.nii.gz; sub-10035/anat/sub-10035_T1w.json; sub-10035/anat/sub-10035_T1w.nii.gz; sub-10041/anat/sub-10041_T1w.json; sub-10041/anat/sub-10041_T1w.nii.gz; sub-10043/anat/sub-10043_T1w.json; sub-10043/anat/sub-10043_T1w.nii.gz; sub-10046/anat/sub-10046_T1w.json; sub-10046/anat/sub-10046_T1w.nii.gz; sub-10054/anat/sub-10054_T1w.json; sub-10054/anat/sub-10054_T1w.nii.gz; sub-10059/anat/sub-10059_T1w.json; sub-10059/anat/sub-10059_T1w.nii.gz; sub-10069/anat/sub-10069_T1w.json; sub-10069/anat/sub-10069_T1w.nii.gz; sub-10074/anat/sub-10074_T1w.json; sub-10074/anat/sub-10074_T1w.nii.gz; sub-10078/anat/sub-10078_T1w.json; sub-10078/anat/sub-10078_T1w.nii.gz; sub-10080/anat/sub-10080_T1w.json; sub-10080/anat/sub-10080_T1w.nii.gz; sub-10085/anat/sub-10085_T1w.json; sub-10085/anat/sub-10085_T1w.nii.gz; sub-10094/anat/sub-10094_T1w.json; sub-10094/anat/sub-10094_T1w.nii.gz; sub-10108/anat/sub-10108_T1w.json; sub-10108/anat/sub-10108_T1w.nii.gz; sub-10125/anat/sub-10125_T1w.json; sub-10125/anat/sub-10125_T1w.nii.gz; sub-10130/anat/sub-10130_T1w.json; sub-10130/anat/sub-10130_T1w.nii.gz; ... (+16 more)	
complete	T1w		1	0		1	0.00217	2.4		2	8	GR\IR	%SiemensSeq%\tfl		NIfTI axes RAS			224	[192, 224, 224]	[1, 1.01785719, 1.01785719]	224	224	224	1		1	HeadNeck_20	0	sub-10416/anat/sub-10416_T1w.json; sub-10416/anat/sub-10416_T1w.nii.gz	
complete	T1w		1	0		1	0.00218	2.4		2	8	GR\IR	%SiemensSeq%\tfl		NIfTI axes RAS			224	[192, 224, 224]	[1, 0.98214287, 0.98214287]	224	224	224	1		1	HeadNeck_20	0	sub-10166/anat/sub-10166_T1w.json; sub-10166/anat/sub-10166_T1w.nii.gz	
complete	fmap-bold-run-1		2	0		2	0.00492; 0.00738	0.645			60	GR	%SiemensSeq%\gre_field_mapping	j-	NIfTI axes LAS	interleaved or non-monotonic slice-index timing	n=54; range=0..0.625 s; unique=41; interleaved or non-monotonic; n=54; range=0..0.64062 s; unique=42; interleaved or non-monotonic	54	[80, 80, 54]	[2.70000005, 2.70000005, 2.97000003]	80	80	80	2.7	2.97	1	HeadNeck_64	0	sub-10142/fmap/sub-10142_acq-bold_run-1_magnitude1.json; sub-10142/fmap/sub-10142_acq-bold_run-1_magnitude1.nii.gz; sub-10142/fmap/sub-10142_acq-bold_run-1_magnitude2.json; sub-10142/fmap/sub-10142_acq-bold_run-1_magnitude2.nii.gz; sub-10142/fmap/sub-10142_acq-bold_run-1_phasediff.json; sub-10142/fmap/sub-10142_acq-bold_run-1_phasediff.nii.gz; sub-10150/fmap/sub-10150_acq-bold_run-1_magnitude1.json; sub-10150/fmap/sub-10150_acq-bold_run-1_magnitude1.nii.gz; sub-10150/fmap/sub-10150_acq-bold_run-1_magnitude2.json; sub-10150/fmap/sub-10150_acq-bold_run-1_magnitude2.nii.gz; sub-10150/fmap/sub-10150_acq-bold_run-1_phasediff.json; sub-10150/fmap/sub-10150_acq-bold_run-1_phasediff.nii.gz	
complete	fmap-bold-run-1		9	0		2	0.00492; 0.00738	0.645			60	GR	%SiemensSeq%\gre_field_mapping	j-	NIfTI axes LAS	interleaved or non-monotonic slice-index timing	n=54; range=0..0.63281 s; unique=54; interleaved or non-monotonic	54	[80, 80, 54]	[2.70000005, 2.70000005, 2.97000003]	80	80	80	2.7	2.97	1	HeadNeck_20	0	sub-10185/fmap/sub-10185_acq-bold_run-1_magnitude1.json; sub-10185/fmap/sub-10185_acq-bold_run-1_magnitude1.nii.gz; sub-10185/fmap/sub-10185_acq-bold_run-1_magnitude2.json; sub-10185/fmap/sub-10185_acq-bold_run-1_magnitude2.nii.gz; sub-10185/fmap/sub-10185_acq-bold_run-1_phasediff.json; sub-10185/fmap/sub-10185_acq-bold_run-1_phasediff.nii.gz; sub-10318/fmap/sub-10318_acq-bold_run-1_magnitude1.json; sub-10318/fmap/sub-10318_acq-bold_run-1_magnitude1.nii.gz; sub-10318/fmap/sub-10318_acq-bold_run-1_magnitude2.json; sub-10318/fmap/sub-10318_acq-bold_run-1_magnitude2.nii.gz; sub-10318/fmap/sub-10318_acq-bold_run-1_phasediff.json; sub-10318/fmap/sub-10318_acq-bold_run-1_phasediff.nii.gz; sub-10320/fmap/sub-10320_acq-bold_run-1_magnitude1.json; sub-10320/fmap/sub-10320_acq-bold_run-1_magnitude1.nii.gz; sub-10320/fmap/sub-10320_acq-bold_run-1_magnitude2.json; sub-10320/fmap/sub-10320_acq-bold_run-1_magnitude2.nii.gz; sub-10320/fmap/sub-10320_acq-bold_run-1_phasediff.json; sub-10320/fmap/sub-10320_acq-bold_run-1_phasediff.nii.gz; sub-10321/fmap/sub-10321_acq-bold_run-1_magnitude1.json; sub-10321/fmap/sub-10321_acq-bold_run-1_magnitude1.nii.gz; sub-10321/fmap/sub-10321_acq-bold_run-1_magnitude2.json; sub-10321/fmap/sub-10321_acq-bold_run-1_magnitude2.nii.gz; sub-10321/fmap/sub-10321_acq-bold_run-1_phasediff.json; sub-10321/fmap/sub-10321_acq-bold_run-1_phasediff.nii.gz; sub-10391/fmap/sub-10391_acq-bold_run-1_magnitude1.json; sub-10391/fmap/sub-10391_acq-bold_run-1_magnitude1.nii.gz; sub-10391/fmap/sub-10391_acq-bold_run-1_magnitude2.json; sub-10391/fmap/sub-10391_acq-bold_run-1_magnitude2.nii.gz; sub-10391/fmap/sub-10391_acq-bold_run-1_phasediff.json; sub-10391/fmap/sub-10391_acq-bold_run-1_phasediff.nii.gz; sub-10416/fmap/sub-10416_acq-bold_run-1_magnitude1.json; sub-10416/fmap/sub-10416_acq-bold_run-1_magnitude1.nii.gz; sub-10416/fmap/sub-10416_acq-bold_run-1_magnitude2.json; sub-10416/fmap/sub-10416_acq-bold_run-1_magnitude2.nii.gz; sub-10416/fmap/sub-10416_acq-bold_run-1_phasediff.json; sub-10416/fmap/sub-10416_acq-bold_run-1_phasediff.nii.gz; sub-10438/fmap/sub-10438_acq-bold_run-1_magnitude1.json; sub-10438/fmap/sub-10438_acq-bold_run-1_magnitude1.nii.gz; sub-10438/fmap/sub-10438_acq-bold_run-1_magnitude2.json; sub-10438/fmap/sub-10438_acq-bold_run-1_magnitude2.nii.gz; ... (+14 more)	
complete	fmap-bold-run-1		14	0		2	0.00492; 0.00738	0.645			60	GR	%SiemensSeq%\gre_field_mapping	j-	NIfTI axes LAS	interleaved or non-monotonic slice-index timing	n=54; range=0..0.63281 s; unique=54; interleaved or non-monotonic	54	[80, 80, 54]	[2.70000005, 2.70000005, 2.97000003]	80	80	80	2.7	2.97	1	HeadNeck_64	0	sub-10017/fmap/sub-10017_acq-bold_run-1_magnitude1.json; sub-10017/fmap/sub-10017_acq-bold_run-1_magnitude1.nii.gz; sub-10017/fmap/sub-10017_acq-bold_run-1_magnitude2.json; sub-10017/fmap/sub-10017_acq-bold_run-1_magnitude2.nii.gz; sub-10017/fmap/sub-10017_acq-bold_run-1_phasediff.json; sub-10017/fmap/sub-10017_acq-bold_run-1_phasediff.nii.gz; sub-10035/fmap/sub-10035_acq-bold_run-1_magnitude1.json; sub-10035/fmap/sub-10035_acq-bold_run-1_magnitude1.nii.gz; sub-10035/fmap/sub-10035_acq-bold_run-1_magnitude2.json; sub-10035/fmap/sub-10035_acq-bold_run-1_magnitude2.nii.gz; sub-10035/fmap/sub-10035_acq-bold_run-1_phasediff.json; sub-10035/fmap/sub-10035_acq-bold_run-1_phasediff.nii.gz; sub-10043/fmap/sub-10043_acq-bold_run-1_magnitude1.json; sub-10043/fmap/sub-10043_acq-bold_run-1_magnitude1.nii.gz; sub-10043/fmap/sub-10043_acq-bold_run-1_magnitude2.json; sub-10043/fmap/sub-10043_acq-bold_run-1_magnitude2.nii.gz; sub-10043/fmap/sub-10043_acq-bold_run-1_phasediff.json; sub-10043/fmap/sub-10043_acq-bold_run-1_phasediff.nii.gz; sub-10046/fmap/sub-10046_acq-bold_run-1_magnitude1.json; sub-10046/fmap/sub-10046_acq-bold_run-1_magnitude1.nii.gz; sub-10046/fmap/sub-10046_acq-bold_run-1_magnitude2.json; sub-10046/fmap/sub-10046_acq-bold_run-1_magnitude2.nii.gz; sub-10046/fmap/sub-10046_acq-bold_run-1_phasediff.json; sub-10046/fmap/sub-10046_acq-bold_run-1_phasediff.nii.gz; sub-10059/fmap/sub-10059_acq-bold_run-1_magnitude1.json; sub-10059/fmap/sub-10059_acq-bold_run-1_magnitude1.nii.gz; sub-10059/fmap/sub-10059_acq-bold_run-1_magnitude2.json; sub-10059/fmap/sub-10059_acq-bold_run-1_magnitude2.nii.gz; sub-10059/fmap/sub-10059_acq-bold_run-1_phasediff.json; sub-10059/fmap/sub-10059_acq-bold_run-1_phasediff.nii.gz; sub-10069/fmap/sub-10069_acq-bold_run-1_magnitude1.json; sub-10069/fmap/sub-10069_acq-bold_run-1_magnitude1.nii.gz; sub-10069/fmap/sub-10069_acq-bold_run-1_magnitude2.json; sub-10069/fmap/sub-10069_acq-bold_run-1_magnitude2.nii.gz; sub-10069/fmap/sub-10069_acq-bold_run-1_phasediff.json; sub-10069/fmap/sub-10069_acq-bold_run-1_phasediff.nii.gz; sub-10080/fmap/sub-10080_acq-bold_run-1_magnitude1.json; sub-10080/fmap/sub-10080_acq-bold_run-1_magnitude1.nii.gz; sub-10080/fmap/sub-10080_acq-bold_run-1_magnitude2.json; sub-10080/fmap/sub-10080_acq-bold_run-1_magnitude2.nii.gz; ... (+44 more)	
complete	fmap-bold-run-1		1	0		2	0.00492; 0.00738	0.645			60	GR	%SiemensSeq%\gre_field_mapping	j-	NIfTI axes LAS	interleaved or non-monotonic slice-index timing	n=54; range=0..0.63281 s; unique=54; interleaved or non-monotonic	54	[86, 86, 54]	[2.69767451, 2.69767451, 2.97000003]	86	62	86	2.7	2.97	1	HeadNeck_64	0	sub-10015/fmap/sub-10015_acq-bold_run-1_magnitude1.json; sub-10015/fmap/sub-10015_acq-bold_run-1_magnitude1.nii.gz; sub-10015/fmap/sub-10015_acq-bold_run-1_magnitude2.json; sub-10015/fmap/sub-10015_acq-bold_run-1_magnitude2.nii.gz; sub-10015/fmap/sub-10015_acq-bold_run-1_phasediff.json; sub-10015/fmap/sub-10015_acq-bold_run-1_phasediff.nii.gz	
complete	fmap-bold-run-1		3	0		2	0.00492; 0.00738	0.645	2		60	GR	%SiemensSeq%\gre_field_mapping	j-	NIfTI axes LAS	interleaved or non-monotonic slice-index timing	n=54; range=0..0.625 s; unique=41; interleaved or non-monotonic	54	[80, 80, 54]	[2.70000005, 2.70000005, 2.97000003]	80	80	80	2.7	2.97	1	HeadNeck_20	0	sub-10606sp/fmap/sub-10606sp_acq-bold_run-1_magnitude1.json; sub-10606sp/fmap/sub-10606sp_acq-bold_run-1_magnitude1.nii.gz; sub-10606sp/fmap/sub-10606sp_acq-bold_run-1_magnitude2.json; sub-10606sp/fmap/sub-10606sp_acq-bold_run-1_magnitude2.nii.gz; sub-10606sp/fmap/sub-10606sp_acq-bold_run-1_phasediff.json; sub-10606sp/fmap/sub-10606sp_acq-bold_run-1_phasediff.nii.gz; sub-10723sp/fmap/sub-10723sp_acq-bold_run-1_magnitude1.json; sub-10723sp/fmap/sub-10723sp_acq-bold_run-1_magnitude1.nii.gz; sub-10723sp/fmap/sub-10723sp_acq-bold_run-1_magnitude2.json; sub-10723sp/fmap/sub-10723sp_acq-bold_run-1_magnitude2.nii.gz; sub-10723sp/fmap/sub-10723sp_acq-bold_run-1_phasediff.json; sub-10723sp/fmap/sub-10723sp_acq-bold_run-1_phasediff.nii.gz; sub-10738/fmap/sub-10738_acq-bold_run-1_magnitude1.json; sub-10738/fmap/sub-10738_acq-bold_run-1_magnitude1.nii.gz; sub-10738/fmap/sub-10738_acq-bold_run-1_magnitude2.json; sub-10738/fmap/sub-10738_acq-bold_run-1_magnitude2.nii.gz; sub-10738/fmap/sub-10738_acq-bold_run-1_phasediff.json; sub-10738/fmap/sub-10738_acq-bold_run-1_phasediff.nii.gz	
complete	fmap-bold-run-1		23	0		2	0.00492; 0.00738	0.645	2		60	GR	%SiemensSeq%\gre_field_mapping	j-	NIfTI axes LAS	interleaved or non-monotonic slice-index timing	n=54; range=0..0.625 s; unique=41; interleaved or non-monotonic; n=54; range=0..0.64062 s; unique=42; interleaved or non-monotonic	54	[80, 80, 54]	[2.70000005, 2.70000005, 2.97000003]	80	80	80	2.7	2.97	1	HeadNeck_20	0	sub-10166/fmap/sub-10166_acq-bold_run-1_magnitude1.json; sub-10166/fmap/sub-10166_acq-bold_run-1_magnitude1.nii.gz; sub-10166/fmap/sub-10166_acq-bold_run-1_magnitude2.json; sub-10166/fmap/sub-10166_acq-bold_run-1_magnitude2.nii.gz; sub-10166/fmap/sub-10166_acq-bold_run-1_phasediff.json; sub-10166/fmap/sub-10166_acq-bold_run-1_phasediff.nii.gz; sub-10198/fmap/sub-10198_acq-bold_run-1_magnitude1.json; sub-10198/fmap/sub-10198_acq-bold_run-1_magnitude1.nii.gz; sub-10198/fmap/sub-10198_acq-bold_run-1_magnitude2.json; sub-10198/fmap/sub-10198_acq-bold_run-1_magnitude2.nii.gz; sub-10198/fmap/sub-10198_acq-bold_run-1_phasediff.json; sub-10198/fmap/sub-10198_acq-bold_run-1_phasediff.nii.gz; sub-10203/fmap/sub-10203_acq-bold_run-1_magnitude1.json; sub-10203/fmap/sub-10203_acq-bold_run-1_magnitude1.nii.gz; sub-10203/fmap/sub-10203_acq-bold_run-1_magnitude2.json; sub-10203/fmap/sub-10203_acq-bold_run-1_magnitude2.nii.gz; sub-10203/fmap/sub-10203_acq-bold_run-1_phasediff.json; sub-10203/fmap/sub-10203_acq-bold_run-1_phasediff.nii.gz; sub-10223/fmap/sub-10223_acq-bold_run-1_magnitude1.json; sub-10223/fmap/sub-10223_acq-bold_run-1_magnitude1.nii.gz; sub-10223/fmap/sub-10223_acq-bold_run-1_magnitude2.json; sub-10223/fmap/sub-10223_acq-bold_run-1_magnitude2.nii.gz; sub-10223/fmap/sub-10223_acq-bold_run-1_phasediff.json; sub-10223/fmap/sub-10223_acq-bold_run-1_phasediff.nii.gz; sub-10234/fmap/sub-10234_acq-bold_run-1_magnitude1.json; sub-10234/fmap/sub-10234_acq-bold_run-1_magnitude1.nii.gz; sub-10234/fmap/sub-10234_acq-bold_run-1_magnitude2.json; sub-10234/fmap/sub-10234_acq-bold_run-1_magnitude2.nii.gz; sub-10234/fmap/sub-10234_acq-bold_run-1_phasediff.json; sub-10234/fmap/sub-10234_acq-bold_run-1_phasediff.nii.gz; sub-10296/fmap/sub-10296_acq-bold_run-1_magnitude1.json; sub-10296/fmap/sub-10296_acq-bold_run-1_magnitude1.nii.gz; sub-10296/fmap/sub-10296_acq-bold_run-1_magnitude2.json; sub-10296/fmap/sub-10296_acq-bold_run-1_magnitude2.nii.gz; sub-10296/fmap/sub-10296_acq-bold_run-1_phasediff.json; sub-10296/fmap/sub-10296_acq-bold_run-1_phasediff.nii.gz; sub-10303/fmap/sub-10303_acq-bold_run-1_magnitude1.json; sub-10303/fmap/sub-10303_acq-bold_run-1_magnitude1.nii.gz; sub-10303/fmap/sub-10303_acq-bold_run-1_magnitude2.json; sub-10303/fmap/sub-10303_acq-bold_run-1_magnitude2.nii.gz; ... (+98 more)	
