sub	acq	val	
derivatives/fsl/sub-10015/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.957374	1.87266	16.154	4.32055
derivatives/fsl/sub-10015/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.955262	1.97031	18.3978	4.59789
derivatives/fsl/sub-10015/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.951923	1.96009	18.3774	4.58166
derivatives/fsl/sub-10017/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.956384	1.70251	11.7937	3.89197
derivatives/fsl/sub-10017/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.944562	1.80443	13.9133	4.18051
derivatives/fsl/sub-10017/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.973764	1.70063	11.2301	3.83709
derivatives/fsl/sub-10017/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.956516	1.81227	13.629	4.16102
derivatives/fsl/sub-10017/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.99008	1.6848	10.6685	3.75685
derivatives/fsl/sub-10017/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.980071	1.79315	13.0459	4.04039
derivatives/fsl/sub-10024/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.956149	1.75501	12.3023	4.01741
derivatives/fsl/sub-10024/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.948077	1.86924	14.8526	4.33846
derivatives/fsl/sub-10024/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.96858	1.73882	11.7351	3.94101
derivatives/fsl/sub-10024/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.96246	1.85014	14.2097	4.23981
derivatives/fsl/sub-10024/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.981024	1.72542	11.2699	3.87396
derivatives/fsl/sub-10024/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.979601	1.81089	13.2463	4.08566
derivatives/fsl/sub-10028/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.954864	1.69964	11.5533	3.88881
derivatives/fsl/sub-10028/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.959049	1.85391	13.5785	4.25845
derivatives/fsl/sub-10028/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.965118	1.8546	13.4856	4.24077
derivatives/fsl/sub-10028/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.98676	1.84607	12.8306	4.15159
derivatives/fsl/sub-10035/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.973817	1.74086	12.3601	3.93233
derivatives/fsl/sub-10035/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.959091	1.82821	14.7659	4.19634
derivatives/fsl/sub-10035/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.986809	1.7261	11.9108	3.86046
derivatives/fsl/sub-10035/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.980663	1.81465	14.1863	4.09311
derivatives/fsl/sub-10035/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.993181	1.70662	11.5794	3.79819
derivatives/fsl/sub-10035/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.989861	1.82615	14.1906	4.0935
derivatives/fsl/sub-10041/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.945251	1.79488	12.7824	4.14959
derivatives/fsl/sub-10041/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.925766	1.92023	15.6906	4.55617
