Effect,Sum Sq,Mean Sq,Num df,Den df,F,p,Partial η²
Head Coil,606.46,606.46,1,37.99,12.61,0.001,0.063
Multiband,806.54,403.27,2,190.47,8.39,< .001,0.082
Multi-echo,390.54,390.54,1,193.63,8.12,0.005,0.041
Smoothness,65.92,65.92,1,201.85,1.37,0.243,0.007
Head Coil × Multiband,1373.63,686.82,2,189.3,14.28,< .001,0.132
Head Coil × Multi-echo,1.06,1.06,1,189.08,0.02,0.882,0.0
Multiband × Multi-echo,1395.88,697.94,2,189.04,14.51,< .001,0.134
Head Coil × Multiband × Multi-echo,297.34,148.67,2,189.34,3.09,0.048,0.032
