Effect,Sum Sq,Mean Sq,Num df,Den df,F,p,Partial η²
Head Coil,135.27,135.27,1,38.01,5.87,0.020,0.03
Multiband,6963.31,3481.65,2,190.06,151.02,< .001,0.616
Multi-echo,697.95,697.95,1,192.31,30.28,< .001,0.139
Smoothness,124.54,124.54,1,198.21,5.4,0.021,0.028
Head Coil × Multiband,655.16,327.58,2,189.23,14.21,< .001,0.131
Head Coil × Multi-echo,277.37,277.37,1,189.07,12.03,< .001,0.06
Multiband × Multi-echo,6088.13,3044.07,2,189.04,132.04,< .001,0.584
Head Coil × Multiband × Multi-echo,483.0,241.5,2,189.26,10.48,< .001,0.1
