Acquisition, EchoNumber, EchoTime
mb1me4, 1, 0.0138
mb6me4, 1, 0.014
mb3me4, 4, 0.06702
mb3me1, null, 0.03
mb1me1, null, 0.03
mb6me1, null, 0.03
