subject,headcoil,acq,tedana_minus_base,fd_mean
10136,64,mb1me4,-0.10904599999999998,0.269363230065085
10137,64,mb1me4,0.13776333000000002,0.0544556639665162
10137,64,mb1me4,0.13776333000000002,0.0544556639665162
10137,64,mb1me4,0.13776333000000002,0.0544556639665162
10137,64,mb1me4,0.13776333000000002,0.0544556639665162
10142,64,mb1me4,0.009971500000000001,0.1158248800383965
10142,64,mb1me4,0.009971500000000001,0.1158248800383965
10142,64,mb1me4,0.009971500000000001,0.1158248800383965
10142,64,mb1me4,0.009971500000000001,0.1158248800383965
10150,64,mb1me4,-0.17944478,
10154,64,mb1me4,0.051175700000000005,0.145687696388785
10154,64,mb1me4,0.051175700000000005,0.145687696388785
10154,64,mb1me4,0.051175700000000005,0.145687696388785
10154,64,mb1me4,0.051175700000000005,0.145687696388785
10166,20,mb1me4,-0.28098100000000004,0.1941009575660486
10166,20,mb1me4,-0.28098100000000004,0.1941009575660486
10166,20,mb1me4,-0.28098100000000004,0.1941009575660486
10166,20,mb1me4,-0.28098100000000004,0.1941009575660486
10185,20,mb1me4,-0.265485,
10186,64,mb1me4,-0.16277800000000003,0.0850170545005366
10186,64,mb1me4,-0.16277800000000003,0.0850170545005366
10186,64,mb1me4,-0.16277800000000003,0.0850170545005366
10186,64,mb1me4,-0.16277800000000003,0.0850170545005366
10188,64,mb1me4,,0.0939569419605255
10188,64,mb1me4,,0.0939569419605255
10188,64,mb1me4,,0.0939569419605255
10188,64,mb1me4,,0.0939569419605255
10203,20,mb1me4,-0.4327869999999999,0.0806928071608463
10203,20,mb1me4,-0.4327869999999999,0.0806928071608463
10203,20,mb1me4,-0.4327869999999999,0.0806928071608463
10203,20,mb1me4,-0.4327869999999999,0.0806928071608463
10221,64,mb1me4,-0.262273,
10223,20,mb1me4,-0.05519299999999999,
10234,20,mb1me4,0.007287999999999989,
10296,20,mb1me4,-0.304667,0.0974095819686846
10296,20,mb1me4,-0.304667,0.0974095819686846
10296,20,mb1me4,-0.304667,0.0974095819686846
10296,20,mb1me4,-0.304667,0.0974095819686846
10318,20,mb1me4,-0.1307994,0.0776785162382578
10318,20,mb1me4,-0.1307994,0.0776785162382578
10318,20,mb1me4,-0.1307994,0.0776785162382578
10318,20,mb1me4,-0.1307994,0.0776785162382578
10319,20,mb1me4,-0.04864200000000002,0.1436415744639212
10319,20,mb1me4,-0.04864200000000002,0.1436415744639212
10319,20,mb1me4,-0.04864200000000002,0.1436415744639212
10319,20,mb1me4,-0.04864200000000002,0.1436415744639212
10320,20,mb1me4,-0.07152100000000006,0.0757532458647312
10320,20,mb1me4,-0.07152100000000006,0.0757532458647312
10320,20,mb1me4,-0.07152100000000006,0.0757532458647312
10320,20,mb1me4,-0.07152100000000006,0.0757532458647312
10321,20,mb1me4,-0.31429700000000005,
10363,20,mb1me4,-0.4153779999999999,0.081870456497166
10363,20,mb1me4,-0.4153779999999999,0.081870456497166
10363,20,mb1me4,-0.4153779999999999,0.081870456497166
10363,20,mb1me4,-0.4153779999999999,0.081870456497166
10382,20,mb1me4,0.47560399999999997,
10391,20,mb1me4,0.23138340000000002,0.1015445825467664
10391,20,mb1me4,0.23138340000000002,0.1015445825467664
10391,20,mb1me4,0.23138340000000002,0.1015445825467664
10391,20,mb1me4,0.23138340000000002,0.1015445825467664
10416,20,mb1me4,-0.134863,
10422,20,mb1me4,-0.10034499999999996,0.1959145105711236
10422,20,mb1me4,-0.10034499999999996,0.1959145105711236
10422,20,mb1me4,-0.10034499999999996,0.1959145105711236
10422,20,mb1me4,-0.10034499999999996,0.1959145105711236
10438,20,mb1me4,-0.183471,0.1525156301761489
10438,20,mb1me4,-0.183471,0.1525156301761489
10438,20,mb1me4,-0.183471,0.1525156301761489
10438,20,mb1me4,-0.183471,0.1525156301761489
12042,20,mb1me4,-0.594192,0.0910520466963916
12042,20,mb1me4,-0.594192,0.0910520466963916
12042,20,mb1me4,-0.594192,0.0910520466963916
12042,20,mb1me4,-0.594192,0.0910520466963916
10017,64,mb3me4,0.0799239,0.0939679765632274
10017,64,mb3me4,0.0799239,0.0939679765632274
10017,64,mb3me4,0.0799239,0.0939679765632274
10017,64,mb3me4,0.0799239,0.0939679765632274
10024,64,mb3me4,-0.4864240000000001,
10035,64,mb3me4,-0.15759099999999998,
10041,64,mb3me4,-0.5019365,
10043,64,mb3me4,-0.667006,0.1067638098905768
10043,64,mb3me4,-0.667006,0.1067638098905768
10043,64,mb3me4,-0.667006,0.1067638098905768
10043,64,mb3me4,-0.667006,0.1067638098905768
10054,64,mb3me4,-0.172273,
10059,64,mb3me4,-0.44395699999999994,
10069,64,mb3me4,-0.114343,0.2476172826090157
10069,64,mb3me4,-0.114343,0.2476172826090157
10069,64,mb3me4,-0.114343,0.2476172826090157
10069,64,mb3me4,-0.114343,0.2476172826090157
10074,64,mb3me4,-0.15232,0.1275925129654297
10074,64,mb3me4,-0.15232,0.1275925129654297
10074,64,mb3me4,-0.15232,0.1275925129654297
10074,64,mb3me4,-0.15232,0.1275925129654297
10078,64,mb3me4,-0.2952419999999999,
10080,64,mb3me4,0.24169159999999998,0.1470285045198627
10080,64,mb3me4,0.24169159999999998,0.1470285045198627
10080,64,mb3me4,0.24169159999999998,0.1470285045198627
10080,64,mb3me4,0.24169159999999998,0.1470285045198627
10085,64,mb3me4,-0.5250403,0.29260768041125
10085,64,mb3me4,-0.5250403,0.29260768041125
10085,64,mb3me4,-0.5250403,0.29260768041125
10085,64,mb3me4,-0.5250403,0.29260768041125
10108,64,mb3me4,-0.21578417,0.1125931678063174
10108,64,mb3me4,-0.21578417,0.1125931678063174
10108,64,mb3me4,-0.21578417,0.1125931678063174
10108,64,mb3me4,-0.21578417,0.1125931678063174
10125,64,mb3me4,-0.42832000000000003,0.1711319694338648
10125,64,mb3me4,-0.42832000000000003,0.1711319694338648
10125,64,mb3me4,-0.42832000000000003,0.1711319694338648
10125,64,mb3me4,-0.42832000000000003,0.1711319694338648
10130,64,mb3me4,-0.0553402,
10136,64,mb3me4,-0.35506000000000004,0.2842786247995069
10136,64,mb3me4,-0.35506000000000004,0.2842786247995069
10136,64,mb3me4,-0.35506000000000004,0.2842786247995069
10136,64,mb3me4,-0.35506000000000004,0.2842786247995069
10137,64,mb3me4,0.04183899999999999,0.0998188980421691
10137,64,mb3me4,0.04183899999999999,0.0998188980421691
10137,64,mb3me4,0.04183899999999999,0.0998188980421691
10137,64,mb3me4,0.04183899999999999,0.0998188980421691
10142,64,mb3me4,-0.30113899999999993,0.1206845863576536
10142,64,mb3me4,-0.30113899999999993,0.1206845863576536
10142,64,mb3me4,-0.30113899999999993,0.1206845863576536
10142,64,mb3me4,-0.30113899999999993,0.1206845863576536
10150,64,mb3me4,-0.07986199999999999,
10154,64,mb3me4,-0.06846600000000003,0.0890857862907542
10154,64,mb3me4,-0.06846600000000003,0.0890857862907542
10154,64,mb3me4,-0.06846600000000003,0.0890857862907542
10154,64,mb3me4,-0.06846600000000003,0.0890857862907542
10166,20,mb3me4,-0.20372200000000007,0.1575076842949864
10166,20,mb3me4,-0.20372200000000007,0.1575076842949864
10166,20,mb3me4,-0.20372200000000007,0.1575076842949864
10166,20,mb3me4,-0.20372200000000007,0.1575076842949864
10185,20,mb3me4,-0.5614299999999999,
10186,64,mb3me4,-0.5591790000000001,0.12373271559998
10186,64,mb3me4,-0.5591790000000001,0.12373271559998
10186,64,mb3me4,-0.5591790000000001,0.12373271559998
10186,64,mb3me4,-0.5591790000000001,0.12373271559998
10188,64,mb3me4,-0.32093099999999997,0.0952303256443325
10188,64,mb3me4,-0.32093099999999997,0.0952303256443325
10188,64,mb3me4,-0.32093099999999997,0.0952303256443325
10188,64,mb3me4,-0.32093099999999997,0.0952303256443325
10203,20,mb3me4,-0.24107000000000012,0.0806789106237597
10203,20,mb3me4,-0.24107000000000012,0.0806789106237597
10203,20,mb3me4,-0.24107000000000012,0.0806789106237597
10203,20,mb3me4,-0.24107000000000012,0.0806789106237597
10221,64,mb3me4,-0.412544,
10223,20,mb3me4,-0.15684130000000002,
10234,20,mb3me4,-0.06204900000000002,
10296,20,mb3me4,-0.257092,0.0732641578494845
10296,20,mb3me4,-0.257092,0.0732641578494845
10296,20,mb3me4,-0.257092,0.0732641578494845
10296,20,mb3me4,-0.257092,0.0732641578494845
10318,20,mb3me4,-0.510381,0.0909391011442938
10318,20,mb3me4,-0.510381,0.0909391011442938
10318,20,mb3me4,-0.510381,0.0909391011442938
10318,20,mb3me4,-0.510381,0.0909391011442938
10319,20,mb3me4,-0.02677099999999999,0.1986446473885226
10319,20,mb3me4,-0.02677099999999999,0.1986446473885226
10319,20,mb3me4,-0.02677099999999999,0.1986446473885226
10319,20,mb3me4,-0.02677099999999999,0.1986446473885226
10320,20,mb3me4,-0.515605,0.0957927981535823
10320,20,mb3me4,-0.515605,0.0957927981535823
10320,20,mb3me4,-0.515605,0.0957927981535823
10320,20,mb3me4,-0.515605,0.0957927981535823
10321,20,mb3me4,-0.3387389999999999,
10363,20,mb3me4,-0.522858,0.1275421488970109
10363,20,mb3me4,-0.522858,0.1275421488970109
10363,20,mb3me4,-0.522858,0.1275421488970109
10363,20,mb3me4,-0.522858,0.1275421488970109
10382,20,mb3me4,0.660411,
10391,20,mb3me4,0.05407299999999998,0.1397179472614103
10391,20,mb3me4,0.05407299999999998,0.1397179472614103
10391,20,mb3me4,0.05407299999999998,0.1397179472614103
10391,20,mb3me4,0.05407299999999998,0.1397179472614103
10416,20,mb3me4,-0.373784,
10422,20,mb3me4,-0.36741499999999994,0.1706090373092069
10422,20,mb3me4,-0.36741499999999994,0.1706090373092069
10422,20,mb3me4,-0.36741499999999994,0.1706090373092069
10422,20,mb3me4,-0.36741499999999994,0.1706090373092069
10438,20,mb3me4,-0.09835900000000009,0.2778547835040368
10438,20,mb3me4,-0.09835900000000009,0.2778547835040368
10438,20,mb3me4,-0.09835900000000009,0.2778547835040368
10438,20,mb3me4,-0.09835900000000009,0.2778547835040368
12042,20,mb3me4,-0.46550999999999987,0.1035840409274383
12042,20,mb3me4,-0.46550999999999987,0.1035840409274383
12042,20,mb3me4,-0.46550999999999987,0.1035840409274383
12042,20,mb3me4,-0.46550999999999987,0.1035840409274383
10017,64,mb6me4,-0.01197100000000001,0.0873716983125165
10017,64,mb6me4,-0.01197100000000001,0.0873716983125165
10017,64,mb6me4,-0.01197100000000001,0.0873716983125165
10017,64,mb6me4,-0.01197100000000001,0.0873716983125165
10024,64,mb6me4,-0.13295000000000012,
10035,64,mb6me4,-0.22036500000000003,
10041,64,mb6me4,-0.25492899999999996,
10043,64,mb6me4,-0.8798500000000002,0.0959480745337245
10043,64,mb6me4,-0.8798500000000002,0.0959480745337245
10043,64,mb6me4,-0.8798500000000002,0.0959480745337245
10043,64,mb6me4,-0.8798500000000002,0.0959480745337245
10054,64,mb6me4,-0.02664999999999995,
10059,64,mb6me4,-0.78772,
10069,64,mb6me4,0.28122899999999995,0.1585419230463238
10069,64,mb6me4,0.28122899999999995,0.1585419230463238
10069,64,mb6me4,0.28122899999999995,0.1585419230463238
