Subj	HC	MB	ME	InputFile
sub-10017	64ch	MB1	ME1	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10017/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me1_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10017	64ch	MB1	ME4	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10017/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me4_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10017	64ch	MB3	ME1	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10017/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me1_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10017	64ch	MB3	ME4	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10017/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me4_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10017	64ch	MB6	ME1	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10017/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me1_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10017	64ch	MB6	ME4	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10017/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me4_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10024	64ch	MB1	ME1	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10024/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me1_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10024	64ch	MB1	ME4	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10024/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me4_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10024	64ch	MB3	ME1	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10024/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me1_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10024	64ch	MB3	ME4	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10024/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me4_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10024	64ch	MB6	ME1	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10024/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me1_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10024	64ch	MB6	ME4	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10024/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me4_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10035	64ch	MB1	ME1	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10035/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me1_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10035	64ch	MB1	ME4	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10035/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me4_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10035	64ch	MB3	ME1	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10035/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me1_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10035	64ch	MB3	ME4	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10035/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me4_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10035	64ch	MB6	ME1	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10035/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me1_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10035	64ch	MB6	ME4	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10035/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me4_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10041	64ch	MB1	ME1	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10041/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me1_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10041	64ch	MB1	ME4	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10041/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me4_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10041	64ch	MB3	ME1	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10041/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me1_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10041	64ch	MB3	ME4	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10041/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me4_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10041	64ch	MB6	ME1	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10041/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me1_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10041	64ch	MB6	ME4	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10041/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me4_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10043	64ch	MB1	ME1	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10043/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me1_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10043	64ch	MB1	ME4	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10043/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me4_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10043	64ch	MB3	ME1	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10043/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me1_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10043	64ch	MB3	ME4	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10043/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me4_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10043	64ch	MB6	ME1	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10043/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me1_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10043	64ch	MB6	ME4	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10043/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me4_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10054	64ch	MB1	ME1	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10054/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me1_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10054	64ch	MB1	ME4	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10054/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me4_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10054	64ch	MB3	ME1	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10054/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me1_sm-0_denoising-base.feat/stats/zstat17.nii.gz
sub-10054	64ch	MB3	ME4	/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10054/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me4_sm-0_denoising-base.feat/stats/zstat17.nii.gz
