subject,headcoil,acq,tedana_minus_base,fd_mean
10017,64,mb1me4,,0.0658085916614474
10017,64,mb1me4,,0.0658085916614474
10017,64,mb1me4,,0.0658085916614474
10017,64,mb1me4,,0.0658085916614474
10024,64,mb1me4,,
10035,64,mb1me4,,
10041,64,mb1me4,,
10043,64,mb1me4,,0.0834429229632915
10043,64,mb1me4,,0.0834429229632915
10043,64,mb1me4,,0.0834429229632915
10043,64,mb1me4,,0.0834429229632915
10054,64,mb1me4,,
10059,64,mb1me4,,
10069,64,mb1me4,,0.360220739363674
10069,64,mb1me4,,0.360220739363674
10069,64,mb1me4,,0.360220739363674
10069,64,mb1me4,,0.360220739363674
10074,64,mb1me4,,0.0681478586406567
10074,64,mb1me4,,0.0681478586406567
10074,64,mb1me4,,0.0681478586406567
10074,64,mb1me4,,0.0681478586406567
10078,64,mb1me4,,
10080,64,mb1me4,,0.0911830881069275
10080,64,mb1me4,,0.0911830881069275
10080,64,mb1me4,,0.0911830881069275
10080,64,mb1me4,,0.0911830881069275
10085,64,mb1me4,,0.246418003740331
10085,64,mb1me4,,0.246418003740331
10085,64,mb1me4,,0.246418003740331
10085,64,mb1me4,,0.246418003740331
10094,64,mb1me4,,0.337234441140893
10094,64,mb1me4,,0.337234441140893
10094,64,mb1me4,,0.337234441140893
10094,64,mb1me4,,0.337234441140893
10108,64,mb1me4,,0.0510471398706209
10108,64,mb1me4,,0.0510471398706209
10108,64,mb1me4,,0.0510471398706209
10108,64,mb1me4,,0.0510471398706209
10125,64,mb1me4,,0.1328543610045844
10125,64,mb1me4,,0.1328543610045844
10125,64,mb1me4,,0.1328543610045844
10125,64,mb1me4,,0.1328543610045844
10130,64,mb1me4,,
10136,64,mb1me4,,0.269363230065085
10136,64,mb1me4,,0.269363230065085
10136,64,mb1me4,,0.269363230065085
10136,64,mb1me4,,0.269363230065085
10137,64,mb1me4,,0.0544556639665162
10137,64,mb1me4,,0.0544556639665162
10137,64,mb1me4,,0.0544556639665162
