Effect,Sum Sq,Mean Sq,Num df,Den df,F,p,Partial η²
Head Coil,3460.18,3460.18,1,37.64,0.12,0.731,0.003
Multiband,14489.41,7244.7,2,195.95,0.25,0.777,0.003
Multi-echo,5748.96,5748.96,1,210.86,0.2,0.655,0.001
Smoothness,16939.75,16939.75,1,223.78,0.59,0.444,0.003
Head Coil × Multiband,40645.17,20322.58,2,190.22,0.71,0.494,0.007
Head Coil × Multi-echo,66948.25,66948.25,1,189.14,2.33,0.129,0.012
Multiband × Multi-echo,125512.56,62756.28,2,188.95,2.18,0.116,0.023
Head Coil × Multiband × Multi-echo,28636.52,14318.26,2,190.4,0.5,0.609,0.005
