subject,mb3me1fa50,mb3me3,mb3me3ip0,mb2me4,mb3me4,mb3me4fa50
10589sp,1.415231438,0.4367510263,-0.02132652068,0.9263734839,-0.4460931909,1.119922212
10590sp,-0.1947691324,-0.0561879358,0.5312108846,0.008870461055,0.2641208725,0.0613589664
10603sp,-0.2097821545,0.2254974871,0.4801537117,-0.2384892333,0.127868994,-0.1702297359
10606sp,1.226090611,0.5831736634,0.6203560384,0.6433374497,-0.226100789,0.1083404025
10608sp,-0.3081703294,0.1158802708,1.601334171,0.3194262569,-0.230116702,0.3955759201
10640sp,0.8130251203,0.4053836211,0.588348384,0.7288955151,-0.4416515835,0.5992037869
10644sp,0.681982918,0.3646533267,-0.1121481827,0.08656654361,0.3604684196,0.3468692489
10690sp,-0.03348529838,-0.2475244101,0.3596846273,0.3366288467,0.3140330156,-0.1159530913
10691sp,0.04833797244,-0.0268523958,0.7910227352,0.1134638294,0.2296681507,0.4228301634
10723sp,0.4602129502,-0.9862549074,1.000401935,0.7235726516,0.4433414426,0.3117157739
10741sp,0.3803981664,0.1076909198,0.7605117246,0.3246005523,-0.3383985329,-0.02139283426
10777sp,0.4544675919,-0.2703758751,-0.2924576623,-0.1052420688,0.1392885942,0.5083787481
10803sp,-0.4418197967,-0.2450426043,0.6564513685,0.0143222952,-0.4253371298,0.6141692748
