subject,mb3me1fa50,mb3me3,mb3me3ip0,mb2me4,mb3me4,mb3me4fa50
10589sp,0.5986621014,0.4362974122,,0.7918672755,-0.1433441287,0.5721834008
10590sp,-0.06798733406,-1.117947698,,-0.1315391344,-0.06059312874,0.2562104345
10603sp,-0.02187490016,0.01254187938,,-0.2649257781,0.1359970128,-0.9396347338
10606sp,1.570438312,0.9477120325,,0.802876341,-0.2785071959,0.1025500388
10608sp,-0.340787432,0.2126974282,,0.6542269694,0.04204281772,0.6296436903
10640sp,0.624838575,0.4146864729,,1.098147285,-0.1558896478,0.7622233261
10644sp,0.8129470564,0.3824970642,,0.02570205925,0.5519365845,0.6891457114
10659sp,0.1762039931,0.354702199,,-0.1443790193,,0.5423701269
10690sp,0.175208798,-0.1922071364,,0.5837322916,0.44159793,-0.1257270243
10691sp,0.1624603144,0.05476258993,,0.5464651616,0.07826090157,0.08495484465
10723sp,-0.04481583966,-0.9231156421,,1.106936297,0.3939189051,0.4482467394
10741sp,0.5025815262,-0.1131959651,,-0.1154586859,-0.0755070949,-0.09725008078
10777sp,0.4380109845,0.1995708606,,0.07206204792,0.404505479,0.835198921
10803sp,-0.07720241673,0.03332211732,,-0.09700567976,-0.08848270413,0.4125265999
