Effect,Sum Sq,Mean Sq,Num df,Den df,F,p,Partial η²
Head Coil,225.18,225.18,1,39.01,28.59,< .001,0.129
Multiband,1798.23,899.11,2,195.14,114.14,< .001,0.542
Multi-echo,448.54,448.54,1,197.56,56.94,< .001,0.228
Smoothness,8.09,8.09,1,204.24,1.03,0.312,0.005
Head Coil × Multiband,377.45,188.73,2,194.27,23.96,< .001,0.199
Head Coil × Multi-echo,57.69,57.69,1,194.07,7.32,0.007,0.037
Multiband × Multi-echo,845.9,422.95,2,194.06,53.69,< .001,0.357
Head Coil × Multiband × Multi-echo,67.81,33.91,2,194.26,4.3,0.015,0.043
