Effect,Sum Sq,Mean Sq,Num df,Den df,F,p,Partial η²
Head Coil,371.97,371.97,1,37.97,6.92,0.012,0.036
Multiband,3467.68,1733.84,2,190.23,32.26,< .001,0.256
Multi-echo,29.33,29.33,1,192.92,0.55,0.461,0.003
Smoothness,12.54,12.54,1,199.96,0.23,0.630,0.001
Head Coil × Multiband,1429.14,714.57,2,189.23,13.3,< .001,0.124
Head Coil × Multi-echo,8.03,8.03,1,189.04,0.15,0.699,0.001
Multiband × Multi-echo,2413.02,1206.51,2,189.01,22.45,< .001,0.193
Head Coil × Multiband × Multi-echo,295.16,147.58,2,189.26,2.75,0.067,0.028
