Effect,Sum Sq,Mean Sq,Num df,Den df,F,p,Partial η²
Head Coil,705.07,705.07,1,37.93,0.07,0.797,0.002
Multiband,42212.13,21106.07,2,193.05,2.01,0.136,0.02
Multi-echo,169.71,169.71,1,201.76,0.02,0.899,0.0
Smoothness,3824.63,3824.63,1,221.19,0.37,0.546,0.002
Head Coil × Multiband,13817.25,6908.63,2,189.8,0.66,0.518,0.007
Head Coil × Multi-echo,8553.31,8553.31,1,189.19,0.82,0.367,0.004
Multiband × Multi-echo,28636.36,14318.18,2,189.08,1.37,0.257,0.014
Head Coil × Multiband × Multi-echo,13451.85,6725.93,2,189.91,0.64,0.527,0.007
