Subj HC MB ME InputFile
3 64ch MB6 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10035/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
4 64ch MB1 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10041/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
4 64ch MB1 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10041/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
4 64ch MB3 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10041/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
4 64ch MB3 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10041/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
4 64ch MB6 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10041/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
4 64ch MB6 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10041/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
5 64ch MB1 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10043/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
5 64ch MB1 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10043/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
5 64ch MB3 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10043/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
5 64ch MB3 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10043/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
5 64ch MB6 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10043/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
5 64ch MB6 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10043/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
6 64ch MB1 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10054/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
6 64ch MB1 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10054/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
6 64ch MB3 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10054/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
6 64ch MB3 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10054/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
6 64ch MB6 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10054/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
6 64ch MB6 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10054/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
7 64ch MB1 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10059/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
7 64ch MB1 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10059/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
7 64ch MB3 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10059/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
7 64ch MB3 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10059/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
7 64ch MB6 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10059/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
7 64ch MB6 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10059/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
8 64ch MB1 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10069/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
8 64ch MB1 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10069/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
8 64ch MB3 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10069/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
8 64ch MB3 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10069/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
8 64ch MB6 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10069/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
8 64ch MB6 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10069/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
9 64ch MB1 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10074/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
9 64ch MB1 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10074/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
9 64ch MB3 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10074/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
9 64ch MB3 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10074/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
9 64ch MB6 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10074/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
9 64ch MB6 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10074/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
10 64ch MB1 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10078/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
10 64ch MB1 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10078/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
10 64ch MB3 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10078/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
10 64ch MB3 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10078/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
10 64ch MB6 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10078/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
10 64ch MB6 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10078/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
11 64ch MB1 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10080/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
11 64ch MB1 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10080/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
11 64ch MB3 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10080/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
11 64ch MB3 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10080/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
11 64ch MB6 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10080/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
11 64ch MB6 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10080/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
12 64ch MB1 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10085/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
12 64ch MB1 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10085/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
12 64ch MB3 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10085/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
12 64ch MB3 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10085/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
12 64ch MB6 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10085/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
12 64ch MB6 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10085/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
13 64ch MB1 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10108/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
13 64ch MB1 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10108/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
13 64ch MB3 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10108/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
13 64ch MB3 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10108/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
13 64ch MB6 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10108/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
13 64ch MB6 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10108/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
14 64ch MB1 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10125/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
14 64ch MB1 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10125/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
14 64ch MB3 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10125/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
14 64ch MB3 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10125/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
14 64ch MB6 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10125/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
14 64ch MB6 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10125/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
15 64ch MB1 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10130/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
15 64ch MB1 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10130/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
15 64ch MB3 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10130/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
15 64ch MB3 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10130/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
15 64ch MB6 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10130/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
15 64ch MB6 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10130/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
16 64ch MB1 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10136/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
16 64ch MB1 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10136/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
16 64ch MB3 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10136/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
16 64ch MB3 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10136/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
16 64ch MB6 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10136/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
16 64ch MB6 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10136/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
17 64ch MB1 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10137/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
17 64ch MB1 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10137/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
17 64ch MB3 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10137/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
17 64ch MB3 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10137/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
17 64ch MB6 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10137/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
17 64ch MB6 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10137/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
18 64ch MB1 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10142/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
18 64ch MB1 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10142/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
18 64ch MB3 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10142/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
18 64ch MB3 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10142/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
18 64ch MB6 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10142/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
18 64ch MB6 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10142/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
19 64ch MB1 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10150/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
19 64ch MB1 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10150/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
19 64ch MB3 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10150/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
19 64ch MB3 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10150/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
19 64ch MB6 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10150/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
19 64ch MB6 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10150/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
20 64ch MB1 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10154/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
20 64ch MB1 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10154/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
