Subj HC MB ME InputFile
1 64ch MB1 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10017/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
1 64ch MB1 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10017/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
1 64ch MB3 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10017/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
1 64ch MB3 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10017/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
1 64ch MB6 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10017/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
1 64ch MB6 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10017/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
2 64ch MB1 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10024/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
2 64ch MB1 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10024/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
2 64ch MB3 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10024/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
2 64ch MB3 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10024/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
2 64ch MB6 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10024/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
2 64ch MB6 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10024/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
3 64ch MB1 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10035/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
3 64ch MB1 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10035/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb1me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
3 64ch MB3 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10035/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
3 64ch MB3 ME4 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10035/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb3me4_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
3 64ch MB6 ME1 """/ZPOOL/data/projects/multiecho-pilot/derivatives/fsl/sub-10035/L1_task-sharedreward_model-1_type-ppi_seed-VS_thr5_acq-mb6me1_sm-0_denoising-base.feat/stats/cope13.nii.gz"""
