Acquisition,N,Mean (SD),Range,Pearson r (95% CI),p-value,Slope (p),R-squared
mb1me4,100,-0.01 (0.11),"[-0.36, 0.17]","0.01 [-0.19, 0.21]",1.000,0.02 (0.911),0.00
mb3me4,100,0.01 (0.08),"[-0.14, 0.25]","0.06 [-0.14, 0.25]",1.000,0.07 (0.555),0.00
mb6me4,100,0.02 (0.12),"[-0.24, 0.37]","-0.14 [-0.33, 0.06]",0.504,-0.29 (0.168),0.02
