subject,mb3me1fa50,mb3me3,mb3me3ip0,mb2me4,mb3me4,mb3me4fa50
10589sp,191.5798498,76.6012011,-18.91007662,145.2458575,-126.7709473,196.4612983
10590sp,-37.38028102,-2.656413622,67.68326205,8.398471751,132.1339907,2.939210284
10603sp,-55.61421822,70.68858,139.2263822,-55.86520045,49.06815873,-69.42345017
10606sp,264.4533419,149.0598661,107.5493575,174.3307456,-107.7691053,31.9803665
10608sp,-109.4384159,11.16089331,277.8190778,54.69781024,-107.9893703,139.1579683
10640sp,189.1214959,119.9924406,96.72111848,179.9018226,-217.9554668,181.2840806
10644sp,129.5999227,97.04258695,-15.33846476,10.46051324,148.5810535,91.03156915
10690sp,0.7969748427,-142.0321711,89.87920394,105.0584125,210.5833785,-45.7695453
10691sp,7.222899302,-6.269250612,110.0984918,24.76634523,75.71017482,92.81304512
10723sp,115.300851,-399.0501018,237.0388913,201.3060838,216.0883021,72.16182049
10741sp,80.20961329,16.85016166,117.9720247,98.0140146,-161.1506994,-11.86984508
10777sp,87.94576644,-82.40650083,-59.08235029,-41.78525641,85.22720494,168.9329228
10803sp,-91.45552281,-72.01421734,90.42999353,5.234766207,-171.3793389,169.4033976
