intercept,fd_mean,hc,fd_mean_x_hc,smoothness
1,-0.04846171,0.4186047,-0.02518224,0.005627907
1,-0.04614327,0.4186047,-0.02421173,0.04162791
1,-0.05973254,0.4186047,-0.02990026,0.04762791
1,-0.05061143,0.4186047,-0.02608212,0.004627907
1,0.02627804,0.4186047,0.006104172,-0.01637209
1,-0.03566588,0.4186047,-0.01982584,0.004627907
1,-0.0216823,0.4186047,-0.01397225,-0.03237209
1,-0.04905493,0.4186047,-0.02543056,0.000627907
1,0.1051876,0.4186047,0.03913608,-0.04737209
1,-0.01483718,0.4186047,-0.01110685,0.01662791
1,-0.03021826,0.4186047,-0.01754544,0.004627907
1,0.004598816,0.4186047,-0.002970853,-0.01237209
1,0.150178,0.4186047,0.05796927,0.01062791
1,0.3166124,0.4186047,0.1276395,-0.02637209
1,-0.02983652,0.4186047,-0.01738565,0.03062791
1,0.02870228,0.4186047,0.007118969,0.03662791
1,-0.06110244,0.4186047,-0.03047371,0.04562791
1,0.1418489,0.4186047,0.05448269,0.02162791
1,-0.04261079,0.4186047,-0.02273301,0.02962791
1,-0.0217451,0.4186047,-0.01399854,0.01562791
1,-0.04522087,0.4186047,-0.02382561,0.01062791
1,-0.0533439,0.4186047,-0.02722595,0.01862791
1,0.015078,-0.5813953,-0.01366222,0.000627907
1,-0.07373733,-0.5813953,0.0379746,-0.01737209
1,-0.01869697,0.4186047,-0.01272258,0.01062791
1,-0.04719936,0.4186047,-0.02465381,0.01262791
1,-0.0216626,-0.5813953,0.007698595,-0.03137209
1,-0.06175078,-0.5813953,0.03100568,-0.008372093
1,0.1132828,0.4186047,0.04252475,0.04562791
1,-0.02534612,-0.5813953,0.009840176,-0.01037209
1,0.05874266,-0.5813953,-0.03904865,-0.02637209
1,-0.06916553,-0.5813953,0.03531658,0.02862791
1,-0.05149059,-0.5813953,0.02504045,-0.03237209
1,0.05621496,-0.5813953,-0.03757906,-0.02837209
1,-0.04663689,-0.5813953,0.02221853,-0.02637209
1,-0.07600789,-0.5813953,0.0392947,-0.01037209
1,-0.01488754,-0.5813953,0.003759607,-0.002372093
1,0.006302134,-0.5813953,-0.008559971,-0.01937209
1,-0.002711741,-0.5813953,-0.003319345,-0.01037209
1,-0.02822492,-0.5813953,0.0115139,-0.04637209
1,0.02817935,-0.5813953,-0.02127928,-0.01837209
1,0.1354251,-0.5813953,-0.08363146,-0.01737209
1,-0.03884565,-0.5813953,0.01768874,-0.003372093
