intercept	fd_mean	hc	fd_mean_x_hc	smoothness	dlpfc_cluster_signal
1	-0.065541	0.418605	-0.034224	0.028419	-0.008600354
1	-0.060125	0.418605	-0.031957	0.024419	-0.031477491
1	-0.087533	0.418605	-0.04343	-0.016581	-0.008519729
1	-0.048452	0.418605	-0.027071	-0.023581	-0.011646258
1	0.038931	0.418605	0.009508	0.110419	-0.0181739
1	-0.047907	0.418605	-0.026842	-0.023581	-0.01269814
1	0.097442	0.418605	0.034001	-0.062581	-0.018426226
1	-0.058368	0.418605	-0.031221	-0.008581	-0.029981593
1	0.228871	0.418605	0.089018	0.008419	-0.044157869
1	-0.063202	0.418605	-0.033245	0.013419	-0.02581197
1	-0.076054	0.418605	-0.038625	0.085419	-0.005375365
1	-0.040167	0.418605	-0.023602	-0.058581	-0.015570422
1	0.115068	0.418605	0.04138	0.083419	-0.066302796
1	0.205885	0.418605	0.079396	-0.031581	-0.089872751
1	-0.080303	0.418605	-0.040403	0.008419	-0.003001961
1	0.001505	0.418605	-0.006159	-0.004581	-0.012282974
1	0.020924	0.418605	0.00197	0.074419	-0.010474278
1	0.138013	0.418605	0.050985	-0.014581	-0.019898123
1	-0.076894	0.418605	-0.038977	-0.030581	-0.023968332
1	-0.015525	0.418605	-0.013287	-0.063581	-0.013004151
1	0.027539	0.418605	0.00474	0.055419	-0.022385617
1	0.014338	0.418605	-0.000786	-0.009581	-0.037813909
1	0.062751	-0.581395	-0.043272	0.033419	-0.002034856
1	-0.082676	-0.581395	0.041279	0.021419	-0.001882546
1	-0.046333	0.418605	-0.026183	0.014419	-0.010882417
1	-0.037393	0.418605	-0.022441	-0.023581	-0.016777621
1	-0.002551	-0.581395	-0.005305	0.012419	-0.01001964
1	-0.050657	-0.581395	0.022663	-0.053581	-0.004131794
1	0.207179	0.418605	0.079938	-0.008581	-0.057182047
1	-0.046366	-0.581395	0.020169	-0.067581	-0.014192747
1	0.01593	-0.581395	-0.01605	-0.034581	-0.017473082
1	-0.03394	-0.581395	0.012944	0.015419	-0.019544641
1	-0.053671	-0.581395	0.024416	-0.027581	-0.013444907
1	0.012292	-0.581395	-0.013935	0.024419	-0.007687688
1	-0.055597	-0.581395	0.025535	-0.027581	-0.014356037
1	-0.076256	-0.581395	0.037547	-0.008581	-0.014393628
1	-0.049479	-0.581395	0.021979	0.009419	-0.002982299
1	0.09961	-0.581395	-0.064701	-0.014581	-0.017728845
1	-0.029805	-0.581395	0.01054	-0.010581	-0.006182551
1	-0.046914	-0.581395	0.020487	-0.036581	0.000476129
1	0.064565	-0.581395	-0.044326	0.034419	-0.04672316
1	0.021166	-0.581395	-0.019094	-0.011581	-0.104183343
1	-0.040298	-0.581395	0.016641	0.015419	-0.012974474
